seller_type,area_m2,room_layout,city,district,neighborhood,listing_date_raw,price_try,rooms,living_rooms,total_rooms,listing_date,listing_month,listing_day,price_per_m2,is_model_candidate_domain,is_model_candidate_pct
Emlak-ofisinden,50.0,2+0,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,1400000,2.0,0.0,2.0,2025-05-15,5,15,28000.0,True,True
Emlak-ofisinden,95.0,2+1,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,2190000,2.0,1.0,3.0,2025-05-15,5,15,23052.63157894737,True,True
Emlak-ofisinden,95.0,2+1,Usak,Merkez,Yenisanayi,15 Mayıs  2025,2600000,2.0,1.0,3.0,2025-05-15,5,15,27368.42105263158,True,True
Emlak-ofisinden,95.0,3+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1550000,3.0,1.0,4.0,2025-05-14,5,14,16315.78947368421,True,True
Emlak-ofisinden,120.0,2+1,Usak,Merkez,Yenisanayi,14 Mayıs  2025,2650000,2.0,1.0,3.0,2025-05-14,5,14,22083.333333333332,True,True
Emlak-ofisinden,155.0,3+1,Usak,Merkez,Dokumacılar,14 Mayıs  2025,3050000,3.0,1.0,4.0,2025-05-14,5,14,19677.41935483871,True,True
Emlak-ofisinden,190.0,3+1,Usak,Merkez,Yenisanayi,16 Mayıs  2025,4950000,3.0,1.0,4.0,2025-05-16,5,16,26052.63157894737,True,True
Emlak-ofisinden,120.0,2+1,Usak,Merkez,Bilinmiyor,16 Mayıs  2025,2550000,2.0,1.0,3.0,2025-05-16,5,16,21250.0,True,True
Emlak-ofisinden,185.0,3+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,3500000,3.0,1.0,4.0,2025-05-14,5,14,18918.91891891892,True,True
Emlak-ofisinden,50.0,1+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,2750000,1.0,1.0,2.0,2025-05-14,5,14,55000.0,True,True
Emlak-ofisinden,185.0,3+1,Usak,Merkez,Dokumacılar,14 Mayıs  2025,3500000,3.0,1.0,4.0,2025-05-14,5,14,18918.91891891892,True,True
Emlak-ofisinden,130.0,3+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1700000,3.0,1.0,4.0,2025-05-14,5,14,13076.923076923076,True,True
Emlak-ofisinden,75.0,2+0,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1085000,2.0,0.0,2.0,2025-05-14,5,14,14466.666666666666,True,True
Emlak-ofisinden,185.0,3+1,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,4650000,3.0,1.0,4.0,2025-05-15,5,15,25135.135135135137,True,True
Emlak-ofisinden,55.0,1+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1050000,1.0,1.0,2.0,2025-05-14,5,14,19090.909090909092,True,True
Emlak-ofisinden,150.0,3+1,Usak,Merkez,Yenisanayi,14 Mayıs  2025,4600000,3.0,1.0,4.0,2025-05-14,5,14,30666.666666666668,True,True
Emlak-ofisinden,55.0,1+1,Usak,Merkez,Yenisanayi,14 Mayıs  2025,1995000,1.0,1.0,2.0,2025-05-14,5,14,36272.72727272727,True,True
Emlak-ofisinden,60.0,2+0,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,2075000,2.0,0.0,2.0,2025-05-15,5,15,34583.333333333336,True,True
Emlak-ofisinden,125.0,2+1,Usak,Merkez,Dokumacılar,14 Mayıs  2025,2390000,2.0,1.0,3.0,2025-05-14,5,14,19120.0,True,True
Emlak-ofisinden,70.0,2+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1600000,2.0,1.0,3.0,2025-05-14,5,14,22857.14285714286,True,True
Emlak-ofisinden,160.0,3+1,Usak,Merkez,Yenisanayi,14 Mayıs  2025,4000000,3.0,1.0,4.0,2025-05-14,5,14,25000.0,True,True
Emlak-ofisinden,65.0,2+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1350000,2.0,1.0,3.0,2025-05-14,5,14,20769.23076923077,True,True
Emlak-ofisinden,88.0,2+1,Usak,Merkez,Bilinmiyor,16 Mayıs  2025,1600000,2.0,1.0,3.0,2025-05-16,5,16,18181.81818181818,True,True
Emlak-ofisinden,195.0,3+1,Usak,Eşme,Bilinmiyor,14 Mayıs  2025,3500000,3.0,1.0,4.0,2025-05-14,5,14,17948.71794871795,True,True
Emlak-ofisinden,90.0,2+1,Usak,Merkez,Yenisanayi,14 Mayıs  2025,3100000,2.0,1.0,3.0,2025-05-14,5,14,34444.444444444445,True,True
Emlak-ofisinden,60.0,Stüdyo (1+0),Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1350000,1.0,0.0,1.0,2025-05-14,5,14,22500.0,True,True
Emlak-ofisinden,90.0,2+1,Usak,Merkez,Yenisanayi,14 Mayıs  2025,3100000,2.0,1.0,3.0,2025-05-14,5,14,34444.444444444445,True,True
Emlak-ofisinden,60.0,Stüdyo (1+0),Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1350000,1.0,0.0,1.0,2025-05-14,5,14,22500.0,True,True
Emlak-ofisinden,70.0,2+0,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,1350000,2.0,0.0,2.0,2025-05-14,5,14,19285.714285714286,True,True
Emlak-ofisinden,125.0,3+1,Usak,Merkez,Bilinmiyor,16 Mayıs  2025,2845000,3.0,1.0,4.0,2025-05-16,5,16,22760.0,True,True
Emlak-ofisinden,165.0,3+1,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,3175000,3.0,1.0,4.0,2025-05-15,5,15,19242.424242424244,True,True
Emlak-ofisinden,130.0,3+1,Usak,Merkez,Yenisanayi,15 Mayıs  2025,2875000,3.0,1.0,4.0,2025-05-15,5,15,22115.384615384617,True,True
Emlak-ofisinden,200.0,4+1,Usak,Merkez,Yenisanayi,19 Mayıs  2025,6250000,4.0,1.0,5.0,2025-05-19,5,19,31250.0,True,True
